unix_time,timestamp,exchange,qty,quoteQty,crypto
1544102133,2018-12-06 08:15:33+00:00,okex,1347166.8,460731.03,xrp
1544160110,2018-12-07 00:21:50+00:00,okex,777688.8,240305.84,xrp
1544164592,2018-12-07 01:36:32+00:00,okex,762491.56,226383.75,xrp
1544179113,2018-12-07 05:38:33+00:00,bitstamp,1777503,531473.4,xrp
1544219036,2018-12-07 16:43:56+00:00,bitstamp,606817,175370.12,xrp
1544653729,2018-12-12 17:28:49+00:00,okex,837804.56,255530.39,xrp
1544753120,2018-12-13 21:05:20+00:00,okex,923166.75,274642.1,xrp
1545194633,2018-12-18 23:43:53+00:00,okex,1140403.6,395491.97,xrp
1545539633,2018-12-22 23:33:53+00:00,okex,620845.94,220462.4,xrp
1545649575,2018-12-24 06:06:15+00:00,okex,639867.25,270663.84,xrp
1545688525,2018-12-24 16:55:25+00:00,okex,647904.4,268880.3,xrp
1545695573.591,2018-12-24 18:52:53.591000080+00:00,kraken,784035.25,321454.47,xrp
1545741424,2018-12-25 07:37:04+00:00,okex,958674.2,365350.75,xrp
1546031982,2018-12-28 16:19:42+00:00,okex,772653.25,286422.56,xrp
1546088475,2018-12-29 08:01:15+00:00,okex,1110647.9,415826.56,xrp
1546096758,2018-12-29 10:19:18+00:00,okex,698320.25,254886.9,xrp
1546189205,2018-12-30 12:00:05+00:00,okex,748834.8,273025.2,xrp
1546843721,2019-01-07 01:48:41+00:00,okex,890635.2,320628.66,xrp
1546879818,2019-01-07 11:50:18+00:00,okex,1255903.2,455139.34,xrp
1546975724,2019-01-08 14:28:44+00:00,okex,800426.1,290954.9,xrp
1547053287,2019-01-09 12:01:27+00:00,okex,686107.25,249125.55,xrp
1547092059,2019-01-09 22:47:39+00:00,bitstamp,737224.25,271298.5,xrp
1547102374.581,2019-01-10 01:39:34.581000089+00:00,huobi,1000000,379928.66,xrp
1547110318,2019-01-10 03:51:58+00:00,okex,796131.5,295364.78,xrp
1547120723,2019-01-10 06:45:23+00:00,okex,1292443.1,456232.44,xrp
1547124599,2019-01-10 07:49:59+00:00,okex,851065.25,297362.2,xrp
1547130736,2019-01-10 09:32:16+00:00,okex,773699.94,263058,xrp
1547464154,2019-01-14 06:09:14+00:00,okex,649146.2,206817.97,xrp
1547478895,2019-01-14 10:14:55+00:00,okex,767476.06,243596.9,xrp
